"ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
"2015","UF","17","0,699","0,699","0,664","0,724"
"2015","MUNICIPIO","1700251","0,665","0,699","0,664","0,724"
"2015","MUNICIPIO","1700301","0,657","0,699","0,664","0,724"
"2015","MUNICIPIO","1700350","0,663","0,699","0,664","0,724"
"2015","MUNICIPIO","1700400","0,636","0,699","0,664","0,724"
"2015","MUNICIPIO","1700707","0,699","0,699","0,664","0,724"
"2015","MUNICIPIO","1700707","0,708","0,699","0,664","0,724"
"2015","MUNICIPIO","1701002","0,671","0,699","0,664","0,724"
"2015","MUNICIPIO","1701051","0,648","0,699","0,664","0,724"
"2015","MUNICIPIO","1701101","0,651","0,699","0,664","0,724"
"2015","MUNICIPIO","1701309","0,593","0,699","0,664","0,724"
"2015","MUNICIPIO","1701903","0,639","0,699","0,664","0,724"
"2015","MUNICIPIO","1702000","0,675","0,699","0,664","0,724"
"2015","MUNICIPIO","1702109","0,752","0,699","0,664","0,724"
"2015","MUNICIPIO","1702158","0,604","0,699","0,664","0,724"
"2015","MUNICIPIO","1702158","0,533","0,699","0,664","0,724"
"2015","MUNICIPIO","1702208","0,631","0,699","0,664","0,724"
"2015","MUNICIPIO","1702307","0,68","0,699","0,664","0,724"
"2015","MUNICIPIO","1702406","0,651","0,699","0,664","0,724"
"2015","MUNICIPIO","1702554","0,67","0,699","0,664","0,724"
"2015","MUNICIPIO","1702703","0,677","0,699","0,664","0,724"
"2015","MUNICIPIO","1702901","0,627","0,699","0,664","0,724"
"2015","MUNICIPIO","1703008","0,642","0,699","0,664","0,724"
"2015","MUNICIPIO","1703057","0,638","0,699","0,664","0,724"
"2015","MUNICIPIO","1703073","0,603","0,699","0,664","0,724"
"2015","MUNICIPIO","1703107","0,642","0,699","0,664","0,724"
"2015","MUNICIPIO","1703206","0,638","0,699","0,664","0,724"
"2015","MUNICIPIO","1703305","0,66","0,699","0,664","0,724"
"2015","MUNICIPIO","1703305","0,589","0,699","0,664","0,724"
"2015","MUNICIPIO","1703602","0,684","0,699","0,664","0,724"
"2015","MUNICIPIO","1703701","0,686","0,699","0,664","0,724"
"2015","MUNICIPIO","1703800","0,627","0,699","0,664","0,724"
"2015","MUNICIPIO","1703826","0,757","0,699","0,664","0,724"
"2015","MUNICIPIO","1703826","0,579","0,699","0,664","0,724"
"2015","MUNICIPIO","1703826","0,627","0,699","0,664","0,724"
"2015","MUNICIPIO","1703842","0,544","0,699","0,664","0,724"
"2015","MUNICIPIO","1703867","0,662","0,699","0,664","0,724"
"2015","MUNICIPIO","1703883","0,64","0,699","0,664","0,724"
"2015","MUNICIPIO","1703891","0,594","0,699","0,664","0,724"
"2015","MUNICIPIO","1703909","0,658","0,699","0,664","0,724"
"2015","MUNICIPIO","1704105","0,701","0,699","0,664","0,724"
"2015","MUNICIPIO","1704105","0,569","0,699","0,664","0,724"
"2015","MUNICIPIO","1705102","0,62","0,699","0,664","0,724"
"2015","MUNICIPIO","1704600","0,619","0,699","0,664","0,724"
"2015","MUNICIPIO","1705508","0,701","0,699","0,664","0,724"
"2015","MUNICIPIO","1716703","0,671","0,699","0,664","0,724"
"2015","MUNICIPIO","1705557","0,697","0,699","0,664","0,724"
"2015","MUNICIPIO","1705607","0,592","0,699","0,664","0,724"
"2015","MUNICIPIO","1706001","0,605","0,699","0,664","0,724"
"2015","MUNICIPIO","1706100","0,673","0,699","0,664","0,724"
"2015","MUNICIPIO","1706258","0,644","0,699","0,664","0,724"
"2015","MUNICIPIO","1706506","0,581","0,699","0,664","0,724"
"2015","MUNICIPIO","1707009","0,701","0,699","0,664","0,724"
"2015","MUNICIPIO","1707108","0,683","0,699","0,664","0,724"
"2015","MUNICIPIO","1707207","0,583","0,699","0,664","0,724"
"2015","MUNICIPIO","1707306","0,679","0,699","0,664","0,724"
"2015","MUNICIPIO","1707405","0,57","0,699","0,664","0,724"
"2015","MUNICIPIO","1707405","0,605","0,699","0,664","0,724"
"2015","MUNICIPIO","1707553","0,559","0,699","0,664","0,724"
"2015","MUNICIPIO","1707553","0,697","0,699","0,664","0,724"
"2015","MUNICIPIO","1707652","0,689","0,699","0,664","0,724"
"2015","MUNICIPIO","1707702","0,621","0,699","0,664","0,724"
