"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
2015,"UF",17,"1515126",1383445,702424,681021,397972,762475,222998,194993,378421,107607
2015,"MUNICIPIO",1700251,"2539",2391,1261,1130,754,1168,469,377,557,196
2015,"MUNICIPIO",1700301,"6149",5162,2618,2544,1704,2768,690,852,1359,333
2015,"MUNICIPIO",1700350,"5605",5671,2907,2764,1523,2919,1229,729,1433,602
2015,"MUNICIPIO",1700400,"7409",7586,3965,3621,2508,3729,1349,1186,1785,650
2015,"MUNICIPIO",1700707,"8536",8374,4252,4122,2201,4578,1595,1070,2271,781
2015,"MUNICIPIO",1701002,"9848",9865,4981,4884,3077,5145,1643,1544,2525,815
2015,"MUNICIPIO",1701051,"3379",3175,1673,1502,954,1625,596,428,805,269
2015,"MUNICIPIO",1701101,"4618",4213,2170,2043,1279,2117,817,645,1025,373
2015,"MUNICIPIO",1701309,"5910",5882,3138,2744,1723,2952,1207,842,1391,511
2015,"MUNICIPIO",1701903,"6863",6317,3331,2986,1976,3145,1196,930,1538,518
2015,"MUNICIPIO",1702000,"8777",8786,4511,4275,2143,4658,1985,1027,2290,958
2015,"MUNICIPIO",1702109,"170183",150484,73587,76897,40339,88716,21429,19939,45885,11073
2015,"MUNICIPIO",1702158,"5515",5030,2584,2446,1649,2592,789,813,1245,388
2015,"MUNICIPIO",1702208,"34392",31329,15968,15361,10419,15888,5022,5054,7871,2436
2015,"MUNICIPIO",1702307,"6799",6742,3447,3295,2021,3531,1190,976,1743,576
2015,"MUNICIPIO",1702406,"10778",10645,5393,5252,3138,5347,2160,1555,2631,1066
2015,"MUNICIPIO",1702554,"17627",15950,8005,7945,4921,8451,2578,2392,4232,1321
2015,"MUNICIPIO",1702703,"3682",3446,1774,1672,928,1781,737,464,865,343
2015,"MUNICIPIO",1702901,"9706",9275,4600,4675,3009,4681,1585,1493,2350,832
2015,"MUNICIPIO",1703008,"10736",10424,5540,4884,2774,5520,2130,1369,2570,945
2015,"MUNICIPIO",1703057,"3420",3122,1692,1430,974,1658,490,449,760,221
2015,"MUNICIPIO",1703073,"4460",4123,2195,1928,1464,1980,679,671,952,305
2015,"MUNICIPIO",1703107,"5601",5349,2758,2591,1423,2876,1050,717,1357,517
2015,"MUNICIPIO",1703206,"4532",4456,2325,2131,1271,2453,732,625,1173,333
2015,"MUNICIPIO",1703305,"4477",3768,1989,1779,1212,1978,578,583,922,274
2015,"MUNICIPIO",1703602,"2177",2064,1057,1007,607,1081,376,305,531,171
2015,"MUNICIPIO",1703701,"5451",5185,2599,2586,1475,2686,1024,766,1307,513
2015,"MUNICIPIO",1703800,"10837",9768,4939,4829,2991,5272,1505,1447,2623,759
2015,"MUNICIPIO",1703826,"2256",2148,1137,1011,736,1052,360,342,500,169
2015,"MUNICIPIO",1703842,"9408",8139,4264,3875,3178,3963,998,1590,1825,460
2015,"MUNICIPIO",1703867,"4178",3756,2106,1650,915,2167,674,452,904,294
2015,"MUNICIPIO",1703883,"2507",2316,1206,1110,707,1214,395,341,572,197
2015,"MUNICIPIO",1703891,"3983",3688,1919,1769,1339,1793,556,623,864,282
2015,"MUNICIPIO",1703909,"5119",4601,2384,2217,1447,2327,827,733,1118,366
2015,"MUNICIPIO",1704105,"2803",2566,1375,1191,783,1279,504,375,585,231
2015,"MUNICIPIO",1704600,"1397",1335,716,619,335,692,308,168,317,134
2015,"MUNICIPIO",1705102,"3363",3277,1792,1485,991,1619,667,479,730,276
2015,"MUNICIPIO",1705508,"33981",30838,15288,15550,8496,17333,5009,4196,8834,2520
2015,"MUNICIPIO",1705557,"4851",4669,2374,2295,1323,2534,812,659,1256,380
2015,"MUNICIPIO",1705607,"4209",4182,2132,2050,1421,2002,759,698,975,377
2015,"MUNICIPIO",1706001,"5424",5009,2638,2371,1530,2546,933,751,1193,427
2015,"MUNICIPIO",1706100,"7386",7234,3699,3535,1919,3733,1582,937,1827,771
2015,"MUNICIPIO",1706258,"1680",1564,821,743,458,781,325,221,365,157
2015,"MUNICIPIO",1706506,"5833",5273,2775,2498,1669,2670,934,804,1265,429
2015,"MUNICIPIO",1707009,"21167",19112,9679,9433,6012,10176,2924,2936,5034,1463
2015,"MUNICIPIO",1707108,"6777",6363,3280,3083,1756,3214,1393,888,1571,624
2015,"MUNICIPIO",1707207,"7302",7161,3958,3203,1915,3622,1624,881,1651,671
2015,"MUNICIPIO",1707306,"4722",4592,2440,2152,1237,2374,981,602,1120,430
2015,"MUNICIPIO",1707405,"10506",9476,4910,4566,3370,4706,1400,1612,2311,643
2015,"MUNICIPIO",1707553,"3886",3805,1909,1896,1097,1940,768,576,937,383
2015,"MUNICIPIO",1707652,"5386",5340,2705,2635,1345,2764,1231,657,1392,586
2015,"MUNICIPIO",1707702,"8848",8505,4470,4035,2641,4230,1634,1298,1991,746
2015,"MUNICIPIO",1708205,"18742",18427,9607,8820,5334,9840,3253,2618,4744,1458
2015,"MUNICIPIO",1708254,"2556",2419,1234,1185,689,1324,406,349,639,197
2015,"MUNICIPIO",1708304,"5135",4956,2649,2307,1456,2549,951,699,1189,419
2015,"MUNICIPIO",1709005,"12813",12064,6287,5777,4311,5687,2066,2135,2637,1005
2015,"MUNICIPIO",1709302,"25149",23200,11687,11513,6082,13115,4003,2888,6636,1989
2015,"MUNICIPIO",1709500,"83707",76755,38107,38648,19028,45262,12465,9419,22898,6331
2015,"MUNICIPIO",1709807,"1881",1639,864,775,512,820,307,253,377,145
2015,"MUNICIPIO",1710508,"7411",7104,3731,3373,2290,3463,1351,1082,1629,662
2015,"MUNICIPIO",1710706,"6035",6029,3104,2925,1958,2948,1123,949,1423,553
2015,"MUNICIPIO",1710904,"3732",3532,1913,1619,1013,1773,746,490,803,326
2015,"MUNICIPIO",1711100,"2476",2445,1285,1160,682,1309,454,326,618,216
2015,"MUNICIPIO",1711506,"3761",3507,1815,1692,952,1720,835,498,838,356
2015,"MUNICIPIO",1711803,"2245",2231,1176,1055,658,1190,383,330,573,152
2015,"MUNICIPIO",1711902,"12184",10210,5525,4685,3284,5581,1345,1560,2559,566
2015,"MUNICIPIO",1711951,"4037",3525,1830,1695,1337,1608,580,664,759,272
2015,"MUNICIPIO",1712009,"3026",2773,1464,1309,842,1456,475,401,699,209
2015,"MUNICIPIO",1712157,"1814",1605,838,767,480,820,305,238,400,129
2015,"MUNICIPIO",1712405,"3796",3725,2007,1718,1283,1702,740,616,751,351
2015,"MUNICIPIO",1712454,"2945",2622,1350,1272,835,1303,484,412,629,231
2015,"MUNICIPIO",1712504,"4896",4352,2318,2034,1313,2263,776,642,1085,307
2015,"MUNICIPIO",1712702,"2524",2223,1187,1036,816,1134,273,393,520,123
2015,"MUNICIPIO",1712801,"3362",3154,1697,1457,1070,1554,530,481,739,237
2015,"MUNICIPIO",1713205,"19634",20684,10347,10337,6019,11252,3413,3046,5602,1689
2015,"MUNICIPIO",1713304,"13298",12623,6423,6200,3374,6715,2534,1645,3288,1267
2015,"MUNICIPIO",1713601,"7535",6716,3601,3115,2041,3232,1443,984,1500,631
2015,"MUNICIPIO",1713700,"2231",2085,1120,965,558,1074,453,271,515,179
2015,"MUNICIPIO",1713809,"6362",5740,2991,2749,1783,3017,940,878,1429,442
2015,"MUNICIPIO",1713957,"3433",3152,1657,1495,1010,1565,577,499,733,263
2015,"MUNICIPIO",1714203,"9291",9000,4596,4404,2592,4661,1747,1265,2271,868
2015,"MUNICIPIO",1714302,"4177",4386,2262,2124,1279,2177,930,604,1055,465
2015,"MUNICIPIO",1714880,"11513",10686,5576,5110,3255,5498,1933,1574,2648,888
2015,"MUNICIPIO",1715002,"4113",3770,1965,1805,1082,1843,845,516,903,386
2015,"MUNICIPIO",1715101,"4158",3762,1921,1841,1192,1892,678,609,902,330
2015,"MUNICIPIO",1715150,"2351",2286,1180,1106,603,1245,438,287,611,208
2015,"MUNICIPIO",1715259,"2650",2457,1277,1180,878,1217,362,445,570,165
2015,"MUNICIPIO",1715507,"1098",1037,552,485,321,519,197,154,239,92
2015,"MUNICIPIO",1715705,"5651",4954,2659,2295,1634,2431,889,825,1108,362
2015,"MUNICIPIO",1715754,"7645",7339,3704,3635,1909,3929,1501,954,1982,699
2015,"MUNICIPIO",1716109,"49076",44417,22113,22304,11457,25855,7105,5625,13119,3560
2015,"MUNICIPIO",1716208,"10573",10338,5444,4894,3253,5163,1922,1551,2446,897
2015,"MUNICIPIO",1716307,"4814",4588,2459,2129,1354,2408,826,640,1143,346
2015,"MUNICIPIO",1716505,"12900",11539,5969,5570,3155,6589,1795,1567,3115,888
2015,"MUNICIPIO",1716604,"11340",10384,5427,4957,2898,5381,2105,1427,2561,969
2015,"MUNICIPIO",1716653,"5381",5054,2667,2387,1495,2648,911,709,1258,420
2015,"MUNICIPIO",1716703,"8522",8611,4368,4243,2232,4612,1767,1128,2272,843
2015,"MUNICIPIO",1717008,"4547",4506,2385,2121,1349,2287,870,650,1069,402
2015,"MUNICIPIO",1717206,"3031",2920,1626,1294,824,1517,579,371,690,233
2015,"MUNICIPIO",1717503,"7357",6694,3526,3168,1939,3433,1322,933,1647,588
2015,"MUNICIPIO",1717800,"4649",4544,2405,2139,1341,2196,1007,656,996,487
2015,"MUNICIPIO",1717909,"7793",7180,3879,3301,2193,3647,1340,1056,1630,615
2015,"MUNICIPIO",1718006,"3039",2796,1431,1365,899,1381,516,453,672,240
2015,"MUNICIPIO",1718204,"52182",49146,24517,24629,13671,27412,8063,6763,13811,4055
2015,"MUNICIPIO",1718303,"8229",7659,3897,3762,2833,3658,1168,1408,1783,571
2015,"MUNICIPIO",1718402,"3744",3681,1882,1799,1057,1924,700,521,939,339
2015,"MUNICIPIO",1718451,"2591",2369,1257,1112,758,1241,370,341,597,174
2015,"MUNICIPIO",1718501,"4132",3768,2008,1760,1390,1787,591,678,825,257
2015,"MUNICIPIO",1718550,"4520",4191,2168,2023,1341,2099,751,666,1018,339
2015,"MUNICIPIO",1718659,"1980",1714,886,828,587,892,235,287,426,115
2015,"MUNICIPIO",1718709,"2764",2570,1361,1209,731,1345,494,359,636,214
2015,"MUNICIPIO",1718758,"6486",6254,3379,2875,1904,3042,1308,936,1342,597
2015,"MUNICIPIO",1718808,"4415",3864,1970,1894,1448,1888,528,676,954,264
2015,"MUNICIPIO",1718840,"3410",3326,1741,1585,878,1743,705,422,866,297
2015,"MUNICIPIO",1718865,"7232",6599,3417,3182,2150,3553,896,1043,1737,402
2015,"MUNICIPIO",1718881,"3252",2894,1518,1376,868,1451,575,427,676,273
2015,"MUNICIPIO",1718899,"2300",2128,1109,1019,640,1074,414,330,517,172
2015,"MUNICIPIO",1718907,"4794",4568,2411,2157,1527,2141,900,716,1016,425
2015,"MUNICIPIO",1719004,"2762",2523,1339,1184,794,1282,447,399,577,208
2015,"MUNICIPIO",1720002,"2547",2474,1268,1206,744,1292,438,366,635,205
2015,"MUNICIPIO",1720101,"5096",4608,2403,2205,1602,2304,702,764,1108,333
2015,"MUNICIPIO",1720150,"1545",1437,770,667,541,674,222,267,299,101
2015,"MUNICIPIO",1720200,"11597",10481,5290,5191,3523,5251,1707,1752,2573,866
2015,"MUNICIPIO",1720259,"3058",2910,1486,1424,902,1523,485,451,736,237
2015,"MUNICIPIO",1720309,"4654",4283,2199,2084,1433,2173,677,702,1049,333
2015,"MUNICIPIO",1720499,"4214",4383,2267,2116,1274,2138,971,604,1050,462
2015,"MUNICIPIO",1720655,"5345",5068,2655,2413,1429,2496,1143,687,1192,534
2015,"MUNICIPIO",1720804,"9243",9148,4631,4517,2788,4656,1704,1384,2288,845
2015,"MUNICIPIO",1720853,"1900",1742,894,848,523,866,353,259,435,154
2015,"MUNICIPIO",1720903,"16238",15051,7884,7167,4310,7855,2886,2036,3726,1405
2015,"MUNICIPIO",1720937,"2094",1945,1017,928,632,946,367,313,430,185
2015,"MUNICIPIO",1720978,"2737",2562,1351,1211,688,1409,465,334,686,191
2015,"MUNICIPIO",1721000,"272726",228332,112848,115484,60808,143530,23994,30005,73939,11540
2015,"MUNICIPIO",1721109,"7313",6736,3476,3260,2578,3216,942,1243,1568,449
2015,"MUNICIPIO",1721208,"23141",22619,11200,11419,6832,11921,3866,3353,6016,2050
2015,"MUNICIPIO",1721257,"1782",1574,843,731,452,839,283,216,386,129
2015,"MUNICIPIO",1721307,"2461",2097,1087,1010,646,1009,442,323,497,190
2015,"MUNICIPIO",1722081,"11566",10981,5647,5334,3187,5768,2026,1571,2811,952
2015,"MUNICIPIO",1722107,"11709",11484,5907,5577,3282,6246,1956,1559,3025,993
