"CODMUNRES","ANO","NIVEL","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
"17",2015,"UF",7402,0,0,1393,6009,244,1073,2174,639,1879,4465,2932,503,0,219,181,38,108,9,62,3,0,123,5,31,9,2,0,11,9,22,21,1,3,4,10,0,1
"170000",2015,"MUNICIPIO",26,0,0,19,7,1,1,4,0,1,23,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170025",2015,"MUNICIPIO",17,0,0,2,15,1,2,3,4,5,12,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170030",2015,"MUNICIPIO",29,0,0,4,25,0,4,11,1,9,17,12,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170035",2015,"MUNICIPIO",29,0,0,1,28,1,5,12,2,8,18,11,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170040",2015,"MUNICIPIO",46,0,0,5,41,4,7,12,4,14,27,19,6,0,4,4,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170070",2015,"MUNICIPIO",64,0,0,20,44,2,9,13,3,17,38,26,5,0,3,2,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"170100",2015,"MUNICIPIO",57,0,0,6,51,3,9,26,3,10,34,22,3,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170105",2015,"MUNICIPIO",18,0,0,0,18,4,2,5,3,4,11,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170110",2015,"MUNICIPIO",20,0,0,4,16,0,2,7,1,6,10,10,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
