"ANO","NIVEL","CODMUNRES","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC"
"2015","UF","17",25110,0,21816,315,5477,6959,5912,4156,1901,367,21,2,24793,20,24,30,25.04,6.45,131,0,0,0,1586,3017,3130,1258,170,19586,555,9469,15389,9203,15907,24627,447,11,85,256,2299,21200,875,2651,21200,875,38,39,40,38.65,2.19,0,5494,2256,2937,13138,11304,13806,11727,0,24077,781,38,4695,3088,5643,2681,5057,258,398,456,38,2227,0,0,0,0,0,12772,12335,0,0,0,0,0,1861,21873,1373,2937,3245,3550,3215.78,543.48,1580,19605,2649,240,24404,9.43,0.89,246,24652
"2015","MUNICIPIO","170000",4,0,1,0,0,1,3,0,0,0,0,0,4,23.75,26,27.25,25,3.56,0,0,0,0,0,0,1,0,0,1,0,1,3,0,4,4,0,0,0,0,1,3,0,1,3,0,37.5,38.5,39,38,1.41,0,0,1,0,2,4,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,4,0,3452.5,3650,3735,3537.5,302.59,0,3,1,0,4,9.5,0.58,0,4
"2015","MUNICIPIO","170025",30,0,28,1,6,12,5,3,3,0,0,0,29,20,22,28,24,6.7,0,0,0,0,1,3,3,1,0,25,0,9,21,12,18,30,0,0,0,0,3,24,3,3,24,3,38,39,40,38.93,1.74,0,10,6,4,10,29,1,21,0,28,2,0,9,2,10,1,4,1,1,0,0,2,0,0,0,0,0,16,14,0,0,0,0,0,1,26,3,3272.5,3420,3680,3413.13,577.8,1,24,4,0,30,9.7,0.75,0,30
"2015","MUNICIPIO","170030",77,0,65,0,22,23,13,17,2,0,0,0,77,19,23,29,24.16,5.93,1,0,0,0,1,6,5,4,0,63,1,51,23,28,49,75,2,0,1,0,3,71,2,4,71,2,38,39.5,40,39.16,2.03,0,14,5,14,43,77,0,41,0,73,1,0,16,11,18,5,18,0,0,2,0,4,0,0,0,0,0,40,37,0,0,0,0,0,2,70,5,3000,3190,3430,3221.83,422.57,6,58,9,1,76,9.49,0.75,1,74
"2015","MUNICIPIO","170035",71,0,55,2,22,16,14,8,8,1,0,0,69,18.5,22,29,24.35,7.31,0,0,0,0,4,3,3,4,4,59,0,26,44,27,44,67,4,0,2,0,9,54,4,11,54,4,37,39,40,38.14,3.39,0,18,3,4,41,71,0,30,0,68,3,0,14,6,13,9,14,1,1,4,0,7,0,0,0,0,0,43,28,0,0,0,0,0,7,57,7,2894,3160,3627.5,3179.27,685.79,6,45,12,1,70,9.58,1.25,0,68
"2015","MUNICIPIO","170040",108,0,102,1,36,23,20,18,7,3,0,0,107,19,23,30,24.31,6.76,1,0,0,0,3,6,3,17,1,86,0,42,65,34,74,108,0,0,0,2,11,89,3,13,89,3,38,39,40,38.48,1.98,0,28,8,3,65,106,2,59,0,106,1,0,18,11,24,20,19,0,1,0,0,12,0,0,0,0,0,62,46,0,0,0,0,0,11,91,6,2922.5,3170,3545,3193.88,541.94,9,82,14,2,105,9.42,1.3,1,107
"2015","MUNICIPIO","170070",122,0,108,1,20,33,27,25,13,3,0,0,121,21,25.5,31.75,26.39,6.67,0,0,0,0,7,14,27,3,1,89,0,31,88,39,83,122,0,0,2,2,11,94,11,15,94,11,38,39,40,38.38,2.85,0,23,5,6,84,121,1,49,0,119,2,0,20,14,28,10,31,0,2,0,0,14,0,0,0,0,0,56,66,0,0,0,0,0,5,112,5,2962.25,3292,3608,3220.36,626.42,6,95,16,2,120,9.64,1.27,2,120
"2015","MUNICIPIO","170100",175,0,165,3,54,47,37,21,8,2,3,0,172,18.5,23,27,23.85,6.78,3,0,0,0,7,14,12,8,1,152,0,123,50,65,110,172,3,0,2,0,14,158,1,16,158,1,38,39,40,38.67,2.15,0,36,15,27,95,167,8,102,0,170,4,0,37,20,35,32,31,1,1,3,0,14,0,0,0,0,0,96,79,0,0,0,0,0,12,155,8,2915,3260,3580,3198.87,586.11,10,148,14,4,171,9.12,1.04,3,171
"2015","MUNICIPIO","170105",45,0,41,0,9,8,20,4,4,0,0,0,45,21,26,29,25.58,5.35,1,0,0,0,2,3,0,2,0,43,0,28,17,17,28,43,2,0,0,1,1,43,0,2,43,0,38,39,40,38.71,1.66,0,8,5,9,22,45,0,24,0,43,2,0,9,5,14,4,8,1,1,2,0,1,0,0,0,0,0,22,23,0,0,0,0,0,6,37,2,2840,3070,3470,3101.29,534.37,3,38,2,1,43,9.14,0.82,1,44
"2015","MUNICIPIO","170110",81,0,76,1,20,22,19,11,5,2,1,0,80,19,23,29,24.7,7,0,0,0,0,1,4,4,2,1,74,0,17,64,26,55,80,1,0,0,1,4,76,0,5,76,0,38,39,40,38.84,1.52,0,24,6,6,45,81,0,37,0,79,0,1,16,7,21,11,19,0,0,1,1,4,0,0,0,0,0,48,33,0,0,0,0,0,5,73,3,2960,3255,3590,3260.49,528.73,4,68,8,2,78,9.28,1.3,2,77
