"ANO","NIVEL","CODMUNRES","POPR_RA","POPR_RE"
"2015","UF","17",1233014,341164
"2015","MUNICIPIO","170025",1557,NA
"2015","MUNICIPIO","170030",5492,1669
"2015","MUNICIPIO","170035",4880,NA
"2015","MUNICIPIO","170040",7368,NA
"2015","MUNICIPIO","170070",8522,NA
"2015","MUNICIPIO","170100",9840,4509
"2015","MUNICIPIO","170105",2048,NA
"2015","MUNICIPIO","170110",3587,NA
"2015","MUNICIPIO","170130",2249,NA
"2015","MUNICIPIO","170190",3144,NA
"2015","MUNICIPIO","170200",6230,NA
"2015","MUNICIPIO","170210",170166,29819
"2015","MUNICIPIO","170215",4618,NA
"2015","MUNICIPIO","170220",NA,NA
"2015","MUNICIPIO","170230",5762,NA
"2015","MUNICIPIO","170240",8987,NA
"2015","MUNICIPIO","170255",17625,4002
"2015","MUNICIPIO","170270",2632,NA
"2015","MUNICIPIO","170290",NA,NA
"2015","MUNICIPIO","170300",5776,NA
"2015","MUNICIPIO","170305",1824,NA
"2015","MUNICIPIO","170307",2341,NA
"2015","MUNICIPIO","170310",5083,NA
"2015","MUNICIPIO","170320",2228,NA
"2015","MUNICIPIO","170330",NA,NA
"2015","MUNICIPIO","170360",1507,NA
"2015","MUNICIPIO","170370",4390,NA
"2015","MUNICIPIO","170380",10742,NA
"2015","MUNICIPIO","170382",NA,NA
"2015","MUNICIPIO","170384",7387,NA
"2015","MUNICIPIO","170386",2294,NA
"2015","MUNICIPIO","170388",1955,NA
"2015","MUNICIPIO","170389",3356,1057
"2015","MUNICIPIO","170390",3000,NA
"2015","MUNICIPIO","170410",1624,NA
"2015","MUNICIPIO","170510",1699,NA
"2015","MUNICIPIO","170460",NA,NA
"2015","MUNICIPIO","170550",33978,13430
"2015","MUNICIPIO","171670",7389,NA
"2015","MUNICIPIO","170555",4851,NA
"2015","MUNICIPIO","170560",2930,NA
"2015","MUNICIPIO","170600",2020,NA
"2015","MUNICIPIO","170610",6852,NA
"2015","MUNICIPIO","170625",929,NA
"2015","MUNICIPIO","170650",NA,NA
"2015","MUNICIPIO","170700",20004,NA
"2015","MUNICIPIO","170710",4723,NA
"2015","MUNICIPIO","170720",2832,NA
"2015","MUNICIPIO","170730",3140,NA
"2015","MUNICIPIO","170740",5042,4968
"2015","MUNICIPIO","170755",2373,NA
"2015","MUNICIPIO","170765",4574,NA
"2015","MUNICIPIO","170770",6685,NA
"2015","MUNICIPIO","170820",13653,NA
"2015","MUNICIPIO","170825",2068,NA
"2015","MUNICIPIO","170830",2599,NA
"2015","MUNICIPIO","170900",8418,NA
"2015","MUNICIPIO","170930",25146,13824
"2015","MUNICIPIO","170950",83699,20375
"2015","MUNICIPIO","170980",1077,NA
"2015","MUNICIPIO","171050",4273,1066
"2015","MUNICIPIO","171070",NA,NA
"2015","MUNICIPIO","171090",2011,NA
"2015","MUNICIPIO","171110",1587,NA
"2015","MUNICIPIO","171150",1393,NA
"2015","MUNICIPIO","171180",1043,NA
"2015","MUNICIPIO","171190",8885,NA
"2015","MUNICIPIO","171195",2849,NA
"2015","MUNICIPIO","171200",2336,NA
"2015","MUNICIPIO","171215",1271,NA
"2015","MUNICIPIO","171240",2636,NA
"2015","MUNICIPIO","171245",1850,NA
"2015","MUNICIPIO","171250",2636,NA
"2015","MUNICIPIO","171270",NA,NA
"2015","MUNICIPIO","171280",2135,NA
"2015","MUNICIPIO","171320",19632,NA
"2015","MUNICIPIO","171330",13297,NA
"2015","MUNICIPIO","171360",3180,NA
"2015","MUNICIPIO","171370",685,NA
"2015","MUNICIPIO","171395",1939,NA
"2015","MUNICIPIO","171420",8482,NA
"2015","MUNICIPIO","171430",4177,NA
"2015","MUNICIPIO","171488",9982,NA
"2015","MUNICIPIO","171500",2480,NA
"2015","MUNICIPIO","171510",3361,NA
"2015","MUNICIPIO","171515",1747,NA
"2015","MUNICIPIO","171525",1897,NA
"2015","MUNICIPIO","171550",860,NA
"2015","MUNICIPIO","172100",272699,193852
"2015","MUNICIPIO","171570",2155,NA
"2015","MUNICIPIO","171380",3962,NA
"2015","MUNICIPIO","171575",7520,NA
"2015","MUNICIPIO","171610",49071,5462
"2015","MUNICIPIO","171620",6690,NA
"2015","MUNICIPIO","171630",3030,NA
"2015","MUNICIPIO","171650",NA,NA
"2015","MUNICIPIO","171660",6485,1342
"2015","MUNICIPIO","171665",2527,NA
"2015","MUNICIPIO","171700",2984,NA
"2015","MUNICIPIO","171720",1162,NA
"2015","MUNICIPIO","171750",4101,NA
"2015","MUNICIPIO","171780",2560,NA
"2015","MUNICIPIO","171790",4862,NA
"2015","MUNICIPIO","171800",2064,NA
"2015","MUNICIPIO","171820",52177,36098
"2015","MUNICIPIO","171830",4759,NA
"2015","MUNICIPIO","171840",3287,NA
"2015","MUNICIPIO","171845",2166,NA
"2015","MUNICIPIO","171850",2155,NA
"2015","MUNICIPIO","171855",1936,NA
"2015","MUNICIPIO","171865",1780,NA
"2015","MUNICIPIO","171870",1097,NA
"2015","MUNICIPIO","171875",3023,NA
"2015","MUNICIPIO","171880",3939,NA
"2015","MUNICIPIO","171884",1809,NA
"2015","MUNICIPIO","171886",7144,NA
"2015","MUNICIPIO","171888",1906,NA
"2015","MUNICIPIO","171889",983,NA
"2015","MUNICIPIO","171890",3079,NA
"2015","MUNICIPIO","171900",1748,NA
"2015","MUNICIPIO","172000",1640,NA
"2015","MUNICIPIO","172010",2962,NA
"2015","MUNICIPIO","172015",993,NA
"2015","MUNICIPIO","172020",9321,NA
"2015","MUNICIPIO","172025",1661,NA
"2015","MUNICIPIO","172030",4224,NA
"2015","MUNICIPIO","172049",2651,NA
"2015","MUNICIPIO","172065",4261,NA
"2015","MUNICIPIO","172080",NA,NA
"2015","MUNICIPIO","172085",1192,NA
"2015","MUNICIPIO","172090",14609,NA
"2015","MUNICIPIO","172093",1585,NA
"2015","MUNICIPIO","172097",2737,1053
"2015","MUNICIPIO","172110",3174,NA
"2015","MUNICIPIO","172120",22868,8638
"2015","MUNICIPIO","172125",990,NA
"2015","MUNICIPIO","172130",1220,NA
"2015","MUNICIPIO","172208",9046,NA
"2015","MUNICIPIO","172210",11501,NA
